Region,Country,iso3,year,lifeExpectancy,dentists,medics,nursesMid
Asia,Turkmenistan,TKM,2011,66.9,1.06,20.79,41.09
Africa,Morocco,MAR,2007,73,1.18,5.4,NA
Rest of Europe,Montenegro,MNE,2014,76.4,0.43,21.7,50.33
Asia,Azerbaijan,AZE,2015,72.3,2.71,33.28,61.49
Middle East,United Arab Emirates,ARE,2012,76.7,4.19,18.01,36.7
European Union,Italy,ITA,2009,81.6,5.19,37.39,54.66
Oceania,Timor Leste,TLS,2011,67.5,0.06,NA,11.56
European Union,France,FRA,2000,79.1,7.16,33.28,68.15
European Union,Denmark,DNK,2004,77.5,8.57,32.27,96.86
Rest of Europe,Norway,NOR,2001,78.8,8.04,35.4,NA
European Union,Hungary,HUN,2007,73.2,4,28.09,61.22
European Union,Ireland,IRL,2008,80.1,6.05,39.55,135.64
European Union,Portugal,PRT,2014,81.1,8.77,45.62,63.75
European Union,Greece,GRC,2000,77.9,11.47,43.82,29.65
Middle East,Bahrain,BHR,2008,75.8,1.06,9.84,25.48
European Union,Czechia,CZE,2004,75.7,6.67,34.99,84.86
Central America and Caribbean,Haiti,HTI,2015,62.5,0.06,0.87,2.87
Central America and Caribbean,Trinidad and Tobago,TTO,2002,69.9,1.65,7.91,28.64
European Union,France,FRA,2012,82,6.5,31.39,90.38
European Union,Croatia,HRV,2011,76.8,7.39,29.18,59.53
Asia,Indonesia,IDN,2012,69.9,0.42,1.97,NA
European Union,Hungary,HUN,2010,74.2,5.27,28.75,63.97
Asia,Myanmar,MMR,2011,64,0.56,5.68,9.51
Rest of Europe,Moldova,MDA,2003,67.5,3.35,23.26,54.89
European Union,Cyprus,CYP,2012,79.8,7,22.36,35.23
South America,Peru,PER,2012,75,1.51,11.39,15.24
Africa,Algeria,DZA,2015,76.1,3.41,18.35,NA
European Union,Germany,DEU,2014,81.1,8.52,40.88,109.49
Rest of Europe,Montenegro,MNE,2015,76.4,0.43,23.72,49.93
Asia,Turkmenistan,TKM,2007,65.7,1.09,21.75,42.75
European Union,Germany,DEU,2007,79.5,7.92,35.28,97.67
Africa,Angola,AGO,2004,49.3,0.12,0.63,9.94
European Union,Lithuania,LTU,2011,73.6,8.21,40.97,78.3
Africa,Lesotho,LSO,2003,43.8,0.02,0.45,5.66
European Union,Croatia,HRV,2010,76.5,7.34,28.61,58.13
Oceania,New Zealand,NZL,2007,80.2,4.44,22.98,97.95
Rest of Europe,Switzerland,CHE,2012,82.7,5.23,39.15,158.76
Middle East,Bahrain,BHR,2010,76.1,1.01,9.71,25.16
Asia,Kazakhstan,KAZ,2003,65.7,3.31,34.68,64.01
Oceania,Solomon Islands,SLB,2013,71.6,0.45,1.8,19.15
European Union,Malta,MLT,2015,81.9,4.63,36.76,81.55
Rest of Europe,Norway,NOR,2004,79.8,8.05,34.01,150.86
European Union,Latvia,LVA,2003,71.3,5.56,28.3,49.16
Middle East,Qatar,QAT,2005,78.3,8.36,26.05,59.12
Asia,Sri Lanka,LKA,2009,75.3,0.41,6.62,15.08
European Union,Czechia,CZE,2014,78.8,7.52,NA,83.47
Asia,Thailand,THA,2007,72.9,1.39,2.92,15.07
Rest of Europe,Switzerland,CHE,2010,82.2,5.25,38.08,149.26
Asia,Sri Lanka,LKA,2005,74.7,0.47,5.04,13.61
Rest of Europe,Switzerland,CHE,2003,80.5,4.91,36.58,128.54
Rest of Europe,Montenegro,MNE,2008,75.1,0.71,20.73,54.5
Asia,India,IND,2006,64.9,0.61,5.97,12.87
South America,Chile,CHL,2006,77.9,0.01,10.31,NA
Asia,Malaysia,MYS,2008,74.1,1.32,9.11,28.04
European Union,Croatia,HRV,2009,76.2,7.64,27.41,56.14
Middle East,Syrian Arab Republic,SYR,2002,73.7,8.36,14.35,19.18
European Union,Denmark,DNK,2009,78.6,8.07,36.51,100.84
European Union,Belgium,BEL,2012,80.4,7.08,29.33,106.05
European Union,Latvia,LVA,2006,70.9,6.49,30.28,58.32
Central America and Caribbean,Trinidad and Tobago,TTO,2015,72.9,3.42,25.41,33.4
North America,Mexico,MEX,2005,75.3,0.94,17.68,22.09
Rest of Europe,Iceland,ISL,2003,81,9.95,36.15,143.79
Rest of Europe,Armenia,ARM,2009,73.1,4.23,27.14,50.79
