"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",68.7916117311341,0.229465586171421,299.790538872979,0
"2","dentists",0.930243627394073,0.0518468117365644,17.9421568315652,1.44470590540721e-64
"3","medics",-0.0441707307333641,0.0134241831603945,-3.29038498697496,0.00102699837030169
"4","nursesMid",0.044093287323639,0.00387000446681754,11.3936011448324,9.52173632708263e-29
